
|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-07.oot.lab.eng.bos.| 1729587867057 |       9307 |         68 |       0.68
| nfvha-comp-07.oot.lab.eng.bos.| 1729588547132 |       9308 |         69 |       0.66
| nfvha-comp-07.oot.lab.eng.bos.| 1729588967479 |       9309 |         70 |       0.87
| nfvha-comp-07.oot.lab.eng.bos.| 1729589137394 |       9310 |         71 |       0.64
| nfvha-comp-07.oot.lab.eng.bos.| 1729589147455 |       9311 |         72 |       0.57
| nfvha-comp-07.oot.lab.eng.bos.| 1729589717731 |       9312 |         73 |       0.73
| nfvha-comp-07.oot.lab.eng.bos.| 1729589908333 |       9313 |         74 |       1.17
| nfvha-comp-07.oot.lab.eng.bos.| 1729589947968 |       9314 |         75 |       0.66
| nfvha-comp-07.oot.lab.eng.bos.| 1729590829030 |       9315 |         76 |       1.63
| nfvha-comp-07.oot.lab.eng.bos.| 1729591318213 |       9316 |         77 |       0.69
| nfvha-comp-07.oot.lab.eng.bos.| 1729591718522 |       9317 |         78 |       0.89
| nfvha-comp-07.oot.lab.eng.bos.| 1729591958616 |       9318 |         79 |       0.85
| nfvha-comp-07.oot.lab.eng.bos.| 1729592728603 |       9319 |         80 |       0.69
| nfvha-comp-07.oot.lab.eng.bos.| 1729593508819 |       9320 |         81 |       0.75
| nfvha-comp-07.oot.lab.eng.bos.| 1729594359333 |       9321 |         82 |       1.13
| nfvha-comp-07.oot.lab.eng.bos.| 1729594539248 |       9322 |         83 |       0.90
| nfvha-comp-07.oot.lab.eng.bos.| 1729595119264 |       9323 |         84 |       0.79
| nfvha-comp-07.oot.lab.eng.bos.| 1729596029372 |       9324 |         85 |       0.75
| nfvha-comp-07.oot.lab.eng.bos.| 1729596149590 |       9325 |         86 |       0.85
| nfvha-comp-07.oot.lab.eng.bos.| 1729596929954 |       9326 |         87 |       1.08
| nfvha-comp-07.oot.lab.eng.bos.| 1729597549801 |       9327 |         88 |       0.80
| nfvha-comp-07.oot.lab.eng.bos.| 1729598149950 |       9328 |         89 |       0.81
| nfvha-comp-07.oot.lab.eng.bos.| 1729598260179 |       9329 |         90 |       0.92
| nfvha-comp-07.oot.lab.eng.bos.| 1729598399960 |       9330 |         91 |       0.61
| nfvha-comp-07.oot.lab.eng.bos.| 1729599130263 |       9331 |         92 |       0.81
| nfvha-comp-07.oot.lab.eng.bos.| 1729599480468 |       9332 |         93 |       0.89
| nfvha-comp-07.oot.lab.eng.bos.| 1729599530480 |       9333 |         94 |       0.78
| nfvha-comp-07.oot.lab.eng.bos.| 1729599950676 |       9334 |         95 |       0.84
| nfvha-comp-07.oot.lab.eng.bos.| 1729600250840 |       9335 |         96 |       0.90
| nfvha-comp-07.oot.lab.eng.bos.| 1729600680739 |       9336 |         97 |       0.70
| nfvha-comp-07.oot.lab.eng.bos.| 1729601620988 |       9337 |         98 |       0.85
| nfvha-comp-07.oot.lab.eng.bos.| 1729601721377 |       9338 |         99 |       1.10
| nfvha-comp-07.oot.lab.eng.bos| 1729602531113 |       9339 |        100 |       0.71
| nfvha-comp-07.oot.lab.eng.bos| 1729602741354 |       9340 |        101 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729603161473 |       9341 |        102 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729603571514 |       9342 |        103 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729603601481 |       9343 |        104 |       0.57
| nfvha-comp-07.oot.lab.eng.bos| 1729604441952 |       9344 |        105 |       0.91
| nfvha-comp-07.oot.lab.eng.bos| 1729604791787 |       9345 |        106 |       0.62
| nfvha-comp-07.oot.lab.eng.bos| 1729605262051 |       9346 |        107 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729605562152 |       9347 |        108 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729606462236 |       9348 |        109 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729607212446 |       9349 |        110 |       0.78
| nfvha-comp-07.oot.lab.eng.bos| 1729608082427 |       9350 |        111 |       0.63
| nfvha-comp-07.oot.lab.eng.bos| 1729608292819 |       9351 |        112 |       0.87
| nfvha-comp-07.oot.lab.eng.bos| 1729608472762 |       9352 |        113 |       0.69
| nfvha-comp-07.oot.lab.eng.bos| 1729608713047 |       9353 |        114 |       0.84
| nfvha-comp-07.oot.lab.eng.bos| 1729609063242 |       9354 |        115 |       0.90
| nfvha-comp-07.oot.lab.eng.bos| 1729609683169 |       9355 |        116 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729610003533 |       9356 |        117 |       0.94
| nfvha-comp-07.oot.lab.eng.bos| 1729610873800 |       9357 |        118 |       1.13
| nfvha-comp-07.oot.lab.eng.bos| 1729610933946 |       9358 |        119 |       1.15
| nfvha-comp-07.oot.lab.eng.bos| 1729611713804 |       9359 |        120 |       0.93
| nfvha-comp-07.oot.lab.eng.bos| 1729612083790 |       9360 |        121 |       0.79
| nfvha-comp-07.oot.lab.eng.bos| 1729613003887 |       9361 |        122 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729613544095 |       9362 |        123 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729614534288 |       9363 |        124 |       0.92
| nfvha-comp-07.oot.lab.eng.bos| 1729615444473 |       9364 |        125 |       0.98
| nfvha-comp-07.oot.lab.eng.bos| 1729615894267 |       9365 |        126 |       0.62
| nfvha-comp-07.oot.lab.eng.bos| 1729616664607 |       9366 |        127 |       0.80
| nfvha-comp-07.oot.lab.eng.bos| 1729617424706 |       9367 |        128 |       0.79
| nfvha-comp-07.oot.lab.eng.bos| 1729617904864 |       9368 |        129 |       0.79
| nfvha-comp-07.oot.lab.eng.bos| 1729618825109 |       9369 |        130 |       0.95
| nfvha-comp-07.oot.lab.eng.bos| 1729619215078 |       9370 |        131 |       0.80
| nfvha-comp-07.oot.lab.eng.bos| 1729619575157 |       9371 |        132 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729619835346 |       9372 |        133 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729619955548 |       9373 |        134 |       0.90
| nfvha-comp-07.oot.lab.eng.bos| 1729620425619 |       9374 |        135 |       0.85
| nfvha-comp-07.oot.lab.eng.bos| 1729621335606 |       9375 |        136 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729621685767 |       9376 |        137 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729621705754 |       9377 |        138 |       0.59
| nfvha-comp-07.oot.lab.eng.bos| 1729622076072 |       9378 |        139 |       0.78
| nfvha-comp-07.oot.lab.eng.bos| 1729622095957 |       9379 |        140 |       0.56
| nfvha-comp-07.oot.lab.eng.bos| 1729622186177 |       9380 |        141 |       0.67
| nfvha-comp-07.oot.lab.eng.bos| 1729622276697 |       9381 |        142 |       1.05
| nfvha-comp-07.oot.lab.eng.bos| 1729623076672 |       9382 |        143 |       0.88
| nfvha-comp-07.oot.lab.eng.bos| 1729623936962 |       9383 |        144 |       1.05
| nfvha-comp-07.oot.lab.eng.bos| 1729624116916 |       9384 |        145 |       0.86
| nfvha-comp-07.oot.lab.eng.bos| 1729624216866 |       9385 |        146 |       0.67
| nfvha-comp-07.oot.lab.eng.bos| 1729625217239 |       9386 |        147 |       0.92
| nfvha-comp-07.oot.lab.eng.bos| 1729625827694 |       9387 |        148 |       1.27
| nfvha-comp-07.oot.lab.eng.bos| 1729626217331 |       9388 |        149 |       0.78
| nfvha-comp-07.oot.lab.eng.bos| 1729627137428 |       9389 |        150 |       0.77
| nfvha-comp-07.oot.lab.eng.bos| 1729627447740 |       9390 |        151 |       0.93
