|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-05.oot.lab.eng.bos.r| 1124498382409 |         68 |          7 |       0.70
| nfvha-comp-05.oot.lab.eng.bos.r| 1124498492513 |         69 |          8 |       0.70
| nfvha-comp-06.oot.lab.eng.bos.r| 1124498612688 |         70 |          8 |       0.76
| nfvha-comp-01.oot.lab.eng.bos.r| 1124498632665 |         71 |          8 |       0.84
| nfvha-comp-02.oot.lab.eng.bos.| 1124499033343 |         72 |         10 |       0.83
| nfvha-comp-03.oot.lab.eng.bos.r| 1124499083057 |         73 |          7 |       0.91
| nfvha-comp-03.oot.lab.eng.bos.r| 1124499102952 |         74 |          8 |       0.67
| nfvha-comp-02.oot.lab.eng.bos.| 1124499103299 |         75 |         11 |       0.66
| nfvha-comp-05.oot.lab.eng.bos.r| 1124499112498 |         76 |          9 |       0.56
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124499152352 |         77 |          6 |       1.86
| nfvha-comp-03.oot.lab.eng.bos.r| 1124499213145 |         78 |          9 |       0.74
| nfvha-comp-06.oot.lab.eng.bos.r| 1124499332825 |         79 |          9 |       0.75
| nfvha-comp-05.oot.lab.eng.bos.| 1124499472843 |         80 |         10 |       0.80
| nfvha-comp-01.oot.lab.eng.bos.r| 1124499502893 |         81 |          9 |       0.91
| nfvha-comp-06.oot.lab.eng.bos.| 1124499573152 |         82 |         10 |       0.96
| nfvha-comp-02.oot.lab.eng.bos.| 1124499643618 |         83 |         12 |       0.81
| nfvha-comp-02.oot.lab.eng.bos.| 1124499733727 |         84 |         13 |       0.73
| nfvha-comp-02.oot.lab.eng.bos.| 1124499743861 |         85 |         14 |       0.74
| nfvha-comp-06.oot.lab.eng.bos.| 1124499843131 |         86 |         11 |       0.79
| nfvha-comp-02.oot.lab.eng.bos.| 1124499874026 |         87 |         15 |       0.77
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124499992598 |         88 |          7 |       1.94
| nfvha-comp-05.oot.lab.eng.bos.| 1124500082721 |         89 |         11 |       0.58
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124500092853 |         90 |          8 |       2.03
| nfvha-comp-01.oot.lab.eng.bos.| 1124500142787 |         91 |         10 |       0.71
| nfvha-comp-03.oot.lab.eng.bos.| 1124500153372 |         92 |         10 |       0.85
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124500272925 |         93 |          9 |       1.95
| nfvha-comp-02.oot.lab.eng.bos.| 1124500324287 |         94 |         16 |       0.84
| nfvha-comp-06.oot.lab.eng.bos.| 1124500613391 |         95 |         12 |       0.91
| nfvha-comp-02.oot.lab.eng.bos.| 1124500644454 |         96 |         17 |       0.86
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124500703189 |         97 |         10 |       2.07
| nfvha-comp-03.oot.lab.eng.bos.| 1124500783412 |         98 |         11 |       0.75
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124500793142 |         99 |         11 |       1.88
| nfvha-comp-05.oot.lab.eng.bos.| 1124501062888 |        100 |         12 |       0.60
| nfvha-comp-01.oot.lab.eng.bos.| 1124501073052 |        101 |         11 |       0.86
| nfvha-comp-02.oot.lab.eng.bos.| 1124501264560 |        102 |         18 |       0.83
| nfvha-comp-06.oot.lab.eng.bos.| 1124501483570 |        103 |         13 |       0.88
| nfvha-comp-05.oot.lab.eng.bos.| 1124501493078 |        104 |         13 |       0.65
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124501553456 |        105 |         12 |       2.02
| nfvha-comp-02.oot.lab.eng.bos.| 1124501574643 |        106 |         19 |       0.75
| nfvha-comp-06.oot.lab.eng.bos.| 1124501653752 |        107 |         14 |       0.94
| nfvha-comp-03.oot.lab.eng.bos.| 1124501663584 |        108 |         12 |       0.75
| nfvha-comp-01.oot.lab.eng.bos.| 1124501733032 |        109 |         12 |       0.74
| nfvha-comp-01.oot.lab.eng.bos.| 1124501773255 |        110 |         13 |       0.82
| nfvha-comp-06.oot.lab.eng.bos.| 1124501853723 |        111 |         15 |       0.77
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124501953689 |        112 |         13 |       2.11
| nfvha-comp-05.oot.lab.eng.bos.| 1124502133305 |        113 |         14 |       0.77
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124502143890 |        114 |         14 |       2.15
| nfvha-comp-03.oot.lab.eng.bos.| 1124502144266 |        115 |         13 |       1.32
| nfvha-comp-06.oot.lab.eng.bos.| 1124502273947 |        116 |         16 |       0.86
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124502293852 |        117 |         15 |       1.97
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124502374067 |        118 |         16 |       1.99
| nfvha-comp-05.oot.lab.eng.bos.| 1124502403463 |        119 |         15 |       0.81
| nfvha-comp-02.oot.lab.eng.bos.| 1124502574875 |        120 |         20 |       0.78
| nfvha-comp-01.oot.lab.eng.bos.| 1124502673278 |        121 |         14 |       0.73
| nfvha-comp-03.oot.lab.eng.bos.| 1124502734097 |        122 |         14 |       0.91
| nfvha-comp-02.oot.lab.eng.bos.| 1124502875089 |        123 |         21 |       0.85
| nfvha-comp-01.oot.lab.eng.bos.| 1124502883553 |        124 |         15 |       0.88
| nfvha-comp-05.oot.lab.eng.bos.| 1124502963466 |        125 |         16 |       0.70
| nfvha-comp-05.oot.lab.eng.bos.| 1124503003564 |        126 |         17 |       0.66
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124503014115 |        127 |         17 |       1.93
| nfvha-comp-06.oot.lab.eng.bos.| 1124503054052 |        128 |         17 |       0.84
| nfvha-comp-01.oot.lab.eng.bos.| 1124503093512 |        129 |         16 |       0.71
| nfvha-comp-02.oot.lab.eng.bos.| 1124503195310 |        130 |         22 |       0.91
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124503444437 |        131 |         18 |       2.10
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124503454527 |        132 |         19 |       2.05
| nfvha-comp-03.oot.lab.eng.bos.| 1124503494125 |        133 |         15 |       0.82
| nfvha-comp-01.oot.lab.eng.bos.| 1124503513591 |        134 |         17 |       0.67
| nfvha-comp-01.oot.lab.eng.bos.| 1124503583925 |        135 |         18 |       0.87
| nfvha-comp-05.oot.lab.eng.bos.| 1124503823774 |        136 |         18 |       0.74
| nfvha-comp-02.oot.lab.eng.bos.| 1124503875359 |        137 |         23 |       0.77
| nfvha-comp-06.oot.lab.eng.bos.| 1124503914253 |        138 |         18 |       0.92
| nfvha-comp-01.oot.lab.eng.bos.| 1124504114075 |        139 |         19 |       0.89
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124504244647 |        140 |         20 |       2.03
| nfvha-comp-02.oot.lab.eng.bos.| 1124504255599 |        141 |         24 |       0.85
| nfvha-comp-05.oot.lab.eng.bos.| 1124504283850 |        142 |         19 |       0.70
| nfvha-comp-01.oot.lab.eng.bos.| 1124504284287 |        143 |         20 |       0.95
| nfvha-comp-03.oot.lab.eng.bos.| 1124504444328 |        144 |         16 |       0.88
| nfvha-comp-01.oot.lab.eng.bos.| 1124504604227 |        145 |         21 |       0.76
| nfvha-comp-06.oot.lab.eng.bos.| 1124504604622 |        146 |         19 |       1.13
| nfvha-comp-03.oot.lab.eng.bos.| 1124504614444 |        147 |         17 |       0.87
| nfvha-comp-05.oot.lab.eng.bos.| 1124504623869 |        148 |         20 |       0.58
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124504694921 |        149 |         21 |       2.17
| nfvha-comp-01.oot.lab.eng.bos.| 1124504744329 |        150 |         22 |       0.75
| nfvha-comp-05.oot.lab.eng.bos.| 1124504784035 |        151 |         21 |       0.62
| nfvha-comp-02.oot.lab.eng.bos.| 1124504955781 |        152 |         25 |       0.85
| nfvha-comp-06.oot.lab.eng.bos.| 1124504964488 |        153 |         20 |       0.84
| nfvha-comp-06.oot.lab.eng.bos.| 1124504984588 |        154 |         21 |       0.82
| nfvha-comp-03.oot.lab.eng.bos.| 1124505044418 |        155 |         18 |       0.72
| nfvha-comp-06.oot.lab.eng.bos.| 1124505444754 |        156 |         22 |       0.84
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124505445149 |        157 |         22 |       2.23
| nfvha-comp-05.oot.lab.eng.bos.| 1124505484198 |        158 |         22 |       0.63
| nfvha-comp-05.oot.lab.eng.bos.| 1124505544298 |        159 |         23 |       0.61
| nfvha-comp-01.oot.lab.eng.bos.| 1124505594533 |        160 |         23 |       0.83
| nfvha-comp-06.oot.lab.eng.bos.| 1124505624984 |        161 |         23 |       0.91
| nfvha-comp-02.oot.lab.eng.bos.| 1124505655807 |        162 |         26 |       0.72
| nfvha-comp-05.oot.lab.eng.bos.| 1124505814556 |        163 |         24 |       0.74
| nfvha-comp-06.oot.lab.eng.bos.| 1124505814934 |        164 |         24 |       0.75
| nfvha-comp-03.oot.lab.eng.bos.| 1124505984782 |        165 |         19 |       0.95
| nfvha-comp-05.oot.lab.eng.bos.| 1124506064551 |        166 |         25 |       0.62
| nfvha-comp-01.oot.lab.eng.bos.| 1124506144577 |        167 |         24 |       0.77
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124506155156 |        168 |         23 |       2.11
| nfvha-comp-03.oot.lab.eng.bos.| 1124506164747 |        169 |         20 |       0.77
| nfvha-comp-05.oot.lab.eng.bos.| 1124506224822 |        170 |         26 |       0.75
| nfvha-comp-02.oot.lab.eng.bos.| 1124506426048 |        171 |         27 |       0.78
| nfvha-comp-06.oot.lab.eng.bos.| 1124506445175 |        172 |         25 |       0.86
| nfvha-comp-01.oot.lab.eng.bos.| 1124506464642 |        173 |         25 |       0.71
| nfvha-comp-05.oot.lab.eng.bos.| 1124506674949 |        174 |         27 |       0.74
| nfvha-comp-01.oot.lab.eng.bos.| 1124506984895 |        175 |         26 |       0.84
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124507045218 |        176 |         24 |       2.00
| nfvha-comp-05.oot.lab.eng.bos.| 1124507075031 |        177 |         28 |       0.71
| nfvha-comp-03.oot.lab.eng.bos.| 1124507104876 |        178 |         21 |       0.75
| nfvha-comp-02.oot.lab.eng.bos.| 1124507236232 |        179 |         28 |       0.79
| nfvha-comp-06.oot.lab.eng.bos.| 1124507315451 |        180 |         26 |       0.98
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124507315805 |        181 |         25 |       2.43
| nfvha-comp-06.oot.lab.eng.bos.| 1124507405363 |        182 |         27 |       0.77
| nfvha-comp-05.oot.lab.eng.bos.| 1124507575099 |        183 |         29 |       0.66
| nfvha-comp-06.oot.lab.eng.bos.| 1124507705594 |        184 |         28 |       0.88
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124507855623 |        185 |         26 |       2.10
| nfvha-comp-01.oot.lab.eng.bos.| 1124507975034 |        186 |         27 |       0.88
| nfvha-comp-03.oot.lab.eng.bos.| 1124508044986 |        187 |         22 |       0.73
| nfvha-comp-02.oot.lab.eng.bos.| 1124508046444 |        188 |         29 |       0.81
| nfvha-comp-05.oot.lab.eng.bos.| 1124508095396 |        189 |         30 |       0.82
| nfvha-comp-06.oot.lab.eng.bos.| 1124508315693 |        190 |         29 |       0.83
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124508455584 |        191 |         27 |       1.89
| nfvha-comp-01.oot.lab.eng.bos.| 1124508535118 |        192 |         28 |       0.83
| nfvha-comp-02.oot.lab.eng.bos.| 1124508816723 |        193 |         30 |       0.87
| nfvha-comp-05.oot.lab.eng.bos.| 1124508885449 |        194 |         31 |       0.76
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124508985905 |        195 |         28 |       2.06
| nfvha-comp-06.oot.lab.eng.bos.| 1124508986260 |        196 |         30 |       1.27
| nfvha-comp-02.oot.lab.eng.bos.| 1124508986678 |        197 |         31 |       0.69
| nfvha-comp-03.oot.lab.eng.bos.| 1124509035333 |        198 |         23 |       0.95
| nfvha-comp-01.oot.lab.eng.bos.| 1124509405214 |        199 |         29 |       0.81
| nfvha-comp-06.oot.lab.eng.bos.| 1124509415922 |        200 |         31 |       0.78
| nfvha-comp-06.oot.lab.eng.bos.| 1124509446191 |        201 |         32 |       0.92
| nfvha-comp-05.oot.lab.eng.bos.| 1124509755502 |        202 |         32 |       0.67
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124509926043 |        203 |         29 |       1.96
| nfvha-comp-02.oot.lab.eng.bos.| 1124509947000 |        204 |         32 |       0.80
| nfvha-comp-03.oot.lab.eng.bos.| 1124510025273 |        205 |         24 |       0.78
| nfvha-comp-02.oot.lab.eng.bos.| 1124510117214 |        206 |         33 |       0.88
| nfvha-comp-06.oot.lab.eng.bos.| 1124510136263 |        207 |         33 |       0.86
| nfvha-comp-01.oot.lab.eng.bos.| 1124510165288 |        208 |         30 |       0.77
| nfvha-comp-03.oot.lab.eng.bos.| 1124510345585 |        209 |         25 |       0.94
| nfvha-comp-06.oot.lab.eng.bos.| 1124510396418 |        210 |         34 |       0.87
| nfvha-comp-02.oot.lab.eng.bos.| 1124510397234 |        211 |         34 |       0.75
| nfvha-comp-05.oot.lab.eng.bos.| 1124510405592 |        212 |         33 |       0.65
| nfvha-comp-03.oot.lab.eng.bos.| 1124510485477 |        213 |         26 |       0.71
| nfvha-comp-01.oot.lab.eng.bos.| 1124510515367 |        214 |         31 |       0.73
| nfvha-comp-05.oot.lab.eng.bos.| 1124510645714 |        215 |         34 |       0.65
| nfvha-comp-01.oot.lab.eng.bos.| 1124510665561 |        216 |         32 |       0.82
| nfvha-comp-01.oot.lab.eng.bos.| 1124510715587 |        217 |         33 |       0.75
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124510716027 |        218 |         30 |       1.83
| nfvha-comp-02.oot.lab.eng.bos.| 1124510777490 |        219 |         35 |       0.85
| nfvha-comp-03.oot.lab.eng.bos.| 1124511015745 |        220 |         27 |       0.86
| nfvha-comp-02.oot.lab.eng.bos.| 1124511107614 |        221 |         36 |       0.81
| nfvha-comp-06.oot.lab.eng.bos.| 1124511196647 |        222 |         35 |       0.96
| nfvha-comp-02.oot.lab.eng.bos.| 1124511197778 |        223 |         37 |       0.80
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124511296415 |        224 |         31 |       2.05
| nfvha-comp-03.oot.lab.eng.bos.| 1124511435769 |        225 |         28 |       0.76
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124511436334 |        226 |         32 |       1.83
| nfvha-comp-05.oot.lab.eng.bos.| 1124511475863 |        227 |         35 |       0.66
| nfvha-comp-05.oot.lab.eng.bos.| 1124511535960 |        228 |         36 |       0.62
| nfvha-comp-02.oot.lab.eng.bos.| 1124511587974 |        229 |         38 |       0.84
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124511596528 |        230 |         33 |       1.88
| nfvha-comp-01.oot.lab.eng.bos.| 1124511625733 |        231 |         34 |       0.80
| nfvha-comp-05.oot.lab.eng.bos.| 1124511696093 |        232 |         37 |       0.63
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124511766709 |        233 |         34 |       1.93
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124511817054 |        234 |         35 |       2.14
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124511916995 |        235 |         36 |       1.96
| nfvha-comp-06.oot.lab.eng.bos.| 1124512036748 |        236 |         36 |       0.93
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124512067168 |        237 |         37 |       2.01
| nfvha-comp-06.oot.lab.eng.bos.| 1124512166801 |        238 |         37 |       0.84
| nfvha-comp-03.oot.lab.eng.bos.| 1124512265885 |        239 |         29 |       0.76
| nfvha-comp-01.oot.lab.eng.bos.| 1124512415689 |        240 |         35 |       0.70
| nfvha-comp-05.oot.lab.eng.bos.| 1124512476358 |        241 |         38 |       0.76
| nfvha-comp-02.oot.lab.eng.bos.| 1124512518067 |        242 |         39 |       0.73
| nfvha-comp-01.oot.lab.eng.bos.| 1124512925743 |        243 |         36 |       0.68
| nfvha-ctrl-03.oot.lab.eng.bos.| 1124512947475 |        244 |         38 |       2.12
| nfvha-comp-03.oot.lab.eng.bos.| 1124512986057 |        245 |         30 |       0.80
| nfvha-comp-05.oot.lab.eng.bos.| 1124512996318 |        246 |         39 |       0.62
