|       Time |     Offset |        Seq |    latency 
| 1073976049937 |        144 |        144 |       0.74
| 1073977050147 |        145 |        145 |       0.90
| 1073977570118 |        146 |        146 |       0.77
| 1073978000229 |        147 |        147 |       0.78
| 1073978570226 |        148 |        148 |       0.62
| 1073979260491 |        149 |        149 |       0.76
| 1073979580712 |        150 |        150 |       0.85
| 1073979870805 |        151 |        151 |       0.84
| 1073980490807 |        152 |        152 |       0.74
| 1073980760872 |        153 |        153 |       0.68
| 1073980931044 |        154 |        154 |       0.72
| 1073981331171 |        155 |        155 |       0.74
| 1073981771184 |        156 |        156 |       0.64
| 1073982741571 |        157 |        157 |       0.90
| 1073982751638 |        158 |        158 |       0.82
| 1073983251653 |        159 |        159 |       0.69
| 1073983631952 |        160 |        160 |       0.89
| 1073984572164 |        161 |        161 |       0.97
| 1073985072281 |        162 |        162 |       0.99
| 1073985722104 |        163 |        163 |       0.70
| 1073985782413 |        164 |        164 |       0.89
| 1073986732463 |        165 |        165 |       0.81
| 1073987542625 |        166 |        166 |       0.87
| 1073988082869 |        167 |        167 |       0.98
| 1073988862760 |        168 |        168 |       0.79
| 1073989443032 |        169 |        169 |       0.93
| 1073989952874 |        170 |        170 |       0.68
| 1073990192993 |        171 |        171 |       0.66
| 1073990343167 |        172 |        172 |       0.73
| 1073991273408 |        173 |        173 |       0.83
| 1073991523306 |        174 |        174 |       0.63
| 1073991883460 |        175 |        175 |       0.67
| 1073992803829 |        176 |        176 |       0.95
| 1073993573672 |        177 |        177 |       0.71
| 1073993703973 |        178 |        178 |       0.90
| 1073994544057 |        179 |        179 |       0.85
| 1073994994203 |        180 |        180 |       0.91
| 1073995444144 |        181 |        181 |       0.74
| 1073995924391 |        182 |        182 |       0.87
| 1073996344493 |        183 |        183 |       0.86
| 1073996414452 |        184 |        184 |       0.68
| 1073997054615 |        185 |        185 |       0.76
| 1073997224894 |        186 |        186 |       0.92
| 1073998084849 |        187 |        187 |       0.79
| 1073999045030 |        188 |        188 |       0.87
| 1073999215107 |        189 |        189 |       0.79
| 1073999575254 |        190 |        190 |       0.84
| 1073999915191 |        191 |        191 |       0.65
| 1074000365546 |        192 |        192 |       0.87
| 1074001215655 |        193 |        193 |       0.86
| 1074002195793 |        194 |        194 |       0.84
| 1074002705989 |        195 |        195 |       0.93
| 1074002855951 |        196 |        196 |       0.77
| 1074002996138 |        197 |        197 |       0.83
| 1074003386045 |        198 |        198 |       0.60
| 1074004316301 |        199 |        199 |       0.73
| 1074004376604 |        200 |        200 |       0.90
| 1074004626488 |        201 |        201 |       0.66
| 1074005146839 |        202 |        202 |       0.91
| 1074005706741 |        203 |        203 |       0.70
| 1074005876953 |        204 |        204 |       0.79
| 1074006637093 |        205 |        205 |       0.86
| 1074007547227 |        206 |        206 |       0.90
| 1074007987267 |        207 |        207 |       0.80
| 1074008857592 |        208 |        208 |       1.04
| 1074008897474 |        209 |        209 |       0.80
| 1074009517534 |        210 |        210 |       0.78
| 1074009837531 |        211 |        211 |       0.67
| 1074010667637 |        212 |        212 |       0.69
| 1074010767814 |        213 |        213 |       0.74
| 1074010848037 |        214 |        214 |       0.82
| 1074011747965 |        215 |        215 |       0.68
| 1074012488155 |        216 |        216 |       0.81
| 1074012738282 |        217 |        217 |       0.82
| 1074013498377 |        218 |        218 |       0.84
| 1074014188461 |        219 |        219 |       0.87
| 1074014948353 |        220 |        220 |       0.66
| 1074015408627 |        221 |        221 |       0.84
| 1074015428556 |        222 |        222 |       0.63
| 1074015638662 |        223 |        223 |       0.64
| 1074015948939 |        224 |        224 |       0.78
| 1074016939115 |        225 |        225 |       0.89
| 1074017009163 |        226 |        226 |       0.79
| 1074017819280 |        227 |        227 |       0.84
| 1074017949333 |        228 |        228 |       0.76
| 1074018759467 |        229 |        229 |       0.81
| 1074019489569 |        230 |        230 |       0.85
| 1074020029769 |        231 |        231 |       0.89
| 1074020079804 |        232 |        232 |       0.74
| 1074020669984 |        233 |        233 |       0.83
| 1074020760128 |        234 |        234 |       0.85
| 1074021320248 |        235 |        235 |       0.85
| 1074021670190 |        236 |        236 |       0.69
| 1074022660505 |        237 |        237 |       0.92
| 1074023650308 |        238 |        238 |       0.67
| 1074023860654 |        239 |        239 |       0.86
| 1074024240966 |        240 |        240 |       1.06
| 1074024850859 |        241 |        241 |       0.87
| 1074025730762 |        242 |        242 |       0.67
| 1074025940954 |        243 |        243 |       0.74
| 1074026650963 |        244 |        244 |       0.69
| 1074027611108 |        245 |        245 |       0.76
| 1074028061356 |        246 |        246 |       0.87
| 1074028851379 |        247 |        247 |       0.79
| 1074029401606 |        248 |        248 |       0.93
| 1074029961580 |        249 |        249 |       0.79
| 1074030431553 |        250 |        250 |       0.67
| 1074030741907 |        251 |        251 |       0.88
| 1074030752041 |        252 |        252 |       0.88
| 1074031241865 |        253 |        253 |       0.58
| 1074032112216 |        254 |        254 |       0.80
| 1074032782228 |        255 |        255 |       0.71
| 1074033612355 |        256 |        256 |       0.77
| 1074034542451 |        257 |        257 |       0.78
| 1074035012431 |        258 |        258 |       0.65
| 1074035312631 |        259 |        259 |       0.74
| 1074036042963 |        260 |        260 |       0.86
| 1074036592932 |        261 |        261 |       0.75
| 1074037423155 |        262 |        262 |       0.87
| 1074037543156 |        263 |        263 |       0.75
| 1074037683218 |        264 |        264 |       0.69
| 1074038593459 |        265 |        265 |       0.85
| 1074039273493 |        266 |        266 |       0.82
| 1074040103543 |        267 |        267 |       0.75
| 1074040353705 |        268 |        268 |       0.81
| 1074040373646 |        269 |        269 |       0.61
| 1074040413710 |        270 |        270 |       0.57
| 1074041383926 |        271 |        271 |       0.71
| 1074042364044 |        272 |        272 |       0.78
| 1074042624162 |        273 |        273 |       0.77
| 1074042794278 |        274 |        274 |       0.76
| 1074042824317 |        275 |        275 |       0.67
| 1074043394536 |        276 |        276 |       0.80
| 1074044364546 |        277 |        277 |       0.68
| 1074045174689 |        278 |        278 |       0.75
| 1074045294829 |        279 |        279 |       0.77
| 1074045814904 |        280 |        280 |       0.73
| 1074046095156 |        281 |        281 |       0.87
| 1074046865297 |        282 |        282 |       0.90
| 1074047395256 |        283 |        283 |       0.77
| 1074047505373 |        284 |        284 |       0.76
| 1074048145518 |        285 |        285 |       0.75
| 1074048695727 |        286 |        286 |       0.88
| 1074049625669 |        287 |        287 |       0.73
| 1074050535933 |        288 |        288 |       0.94
| 1074050555889 |        289 |        289 |       0.71
| 1074050786170 |        290 |        290 |       0.89
| 1074051776119 |        291 |        291 |       0.79
| 1074052686111 |        292 |        292 |       0.72
| 1074053096151 |        293 |        293 |       0.65
| 1074053556277 |        294 |        294 |       0.69
| 1074053596497 |        295 |        295 |       0.78
| 1074054256695 |        296 |        296 |       0.87
| 1074054386838 |        297 |        297 |       0.88
| 1074054606641 |        298 |        298 |       0.60
| 1074054867059 |        299 |        299 |       0.90
| 1074055356973 |        300 |        300 |       0.69
| 1074055957217 |        301 |        301 |       0.84
| 1074056187300 |        302 |        302 |       0.83
| 1074056647318 |        303 |        303 |       0.74
